839634 function calls (824339 primitive calls) in 5.640 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.000    0.000    0.004    0.000 text.py:127(__init__)
        1    0.000    0.000    0.004    0.004 tz.py:9(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:23(<module>)
        1    0.000    0.000    0.004    0.004 environment.py:4(<module>)
      426    0.000    0.000    0.004    0.000 colors.py:129(is_color_like)
        3    0.000    0.000    0.004    0.001 importstring.py:4(<module>)
        1    0.000    0.000    0.004    0.004 numerictypes.py:81(<module>)
      290    0.001    0.000    0.004    0.000 overrides.py:93(verify_matching_signatures)
       11    0.000    0.000    0.004    0.000 pyparsing.py:1586(parseString)
        1    0.000    0.000    0.004    0.004 header.py:5(<module>)
        1    0.000    0.000    0.004    0.004 bz2.py:5(<module>)
        1    0.000    0.000    0.004    0.004 ElementTree.py:34(<module>)
       22    0.002    0.000    0.004    0.000 enum.py:134(__new__)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
        1    0.000    0.000    0.004    0.004 osm.py:5(<module>)
        1    0.000    0.000    0.004    0.004 mathtext.py:2275(Parser)
